この際 委員の異動について御報告 いたします , おはようございます
 アメリカの 状況 につきましては 現時点で 特に 何か ということ はございません , 地 政 学 的に 我が国 に 直接 安全保障 上 影響 があると は 思 え ません が トランプ大統領 は 同盟 国と も 緊 密 に 連絡 を取って いると 基本的に これは ヨーロッパ の 国々 の ことだと思います が
 アメリカの 軍事 行動 について アメリカ が どのように 決定 をし ようとしている かというのは 英 仏 と 様々 やり取り をしている という 情報 には 接 しておりますが 具体的に アメリカの 軍事 行動 云々 について 今 ここで 申し上げ られる ようなもの はございません , 国連 の 安保理 の 否 決 に関して 拒否 権 を ロシア が 発動 したこと について あ の中身 その他 について 日本 政府としては あの 国連 の 安保理 の内容 については 日本 としては あれ については 賛 意 の内容 だというふうに 判断 して よろしい んでしょうか
 我が国として 安保理決議 の 内容について 対 外 的に 発信 を しているところ ではございません が この 化 学 兵 器 の使用 といった 重要な 問題について 国際社会 の 足 並 み が そ ろ わない ということ これを 深く 懸念 をしているところでございます , もう その 程度 で しようがない と思いますので 次 へ 行き ます
 特に 日韓 の間で 温 度 差 があると は 認識を しておりません , あえて 報道 が そう 書いた ということに しておきます 外務大臣 お 忙しい でしょう から どうぞ
 外務大臣 は 御 退 室 いただいて 結構です , 防衛大臣 にお伺いします
お答え申し上げます , いや 大臣から 指導 を受ける 前 です その 三月 三 十一日 は
私 まあ 結果 の 過程 を 聞く と 鈴木 総括 審議官 からは 統括 官 からは 官房長 とそれから 次官 に 言って それで 私 という その 順番 で 来た ものですから 恐らく 官房長 に 報告 して 以降 は 速やかに 私 の方に 上がって きた のではないかと思います , これも 何で 急 に ば た ば た と 時間 を取って きちっと 説明 する はず の ものが こういう 状況 になった のか について 余り 明確な 回答 はありません
お答え申し上げます , これも なかなか 納得 し 難 い もの なんですけれども
委員 今 御指摘の ございました いわゆる 統幕 の 参事官 に 日報 を 一元化 するという 作業 でございますが これは 端 を 発 してございます のは 七月 の 二十八日 いわゆる 再発防止策 の一 環 の中で 行われて ございます , ということは 結果として は そこは 徹底 がなかった ということですね
 これで終わります けど いつ 幾 日 どういう 内容 の ものを 廃棄 した という 記録 を 残 す と これは 廃棄 したこと にはならない んですよね , 福 山 でございます
昨日 私 の方に この 報告 が 来た のは 午前中 だったと思います , ということは 四 時の 時点で は 午前中 報告 を受けた けど この ことについては まだ 認識 が 自身 の中で 確定 していなかった ので 夕 方に もう一度 やった ということですね
 午前中 に あった 内容について 細 部 を含めて 確認を する 必要 があった ので 午前中 に 細 部 を含めて しっかり 確認 するように という 指示 をして その後 中央 即 応 集団 の 開設 式 がありました から そちら の方 に向かって その 行 事 を 終 わ らせて 戻 った 後 再度 確認を した後 公表 させていただいた ということであります , メディア に 報 じ られる 可能性 があった ので 慌 て て 会見 をした ということ はございません か
